	ave_shortest_path	subNetNodes	netNodes
32.5	2.7446698967	259.0	259.0
65.5	2.3125796835	265.0	265.0
64.5	2.42042022653	273.0	273.0
72.6	2.48789071027	269.0	269.0
70.5	2.36873882094	269.0	269.0
51.4	2.28405886165	257.0	257.0
68.1	2.2811376062	262.0	262.0
27.0	2.38576828109	242.0	242.0
58.9	2.29772158908	266.0	266.0
67.7	2.36918637927	263.0	263.0
34.0	2.61228759692	257.0	257.0
41.0	2.52283874547	261.0	261.0
42.0	2.45584157462	254.0	254.0
43.0	2.26755882629	244.0	244.0
45.0	2.61070896586	255.0	255.0
59.4	2.22959890839	271.0	271.0
46.8	2.46132331003	248.0	248.0
50.0	2.22227670256	249.0	249.0
55.0	2.66858965665	268.0	268.0
59.9	2.22776254183	267.0	267.0
65.0	2.3564147291	268.0	268.0
66.0	2.2366235567	262.0	262.0
72.2	2.42521178883	264.0	264.0
73.0	2.49379262797	269.0	269.0
74.0	2.32339599637	265.0	265.0
44.4	2.42933509084	256.0	256.0
69.1	2.26304205071	262.0	262.0
68.5	2.29902276654	265.0	265.0
49.5	2.32826414431	252.0	252.0
71.8	2.42001910119	265.0	265.0
29.6	2.41023147495	240.0	240.0
38.7	2.45007315742	270.0	270.0
65.7	2.34845854645	265.0	265.0
48.8	2.52242503496	260.0	260.0
79.6	2.34811281678	270.0	270.0
52.5	2.32063781483	261.0	261.0
61.9	2.20396391793	262.0	262.0
66.6	2.30214899849	261.0	261.0
36.5	2.62001447017	268.0	268.0
77.9	2.36665616454	272.0	272.0
70.8	2.44692574931	269.0	269.0
55.8	2.62998384407	272.0	272.0
63.9	2.41844914451	269.0	269.0
69.9	2.45257413708	268.0	268.0
25.7	2.59502113973	253.0	253.0
68.8	2.24349327529	262.0	262.0
66.9	2.36552535729	259.0	259.0
39.5	2.46309783238	267.0	267.0
41.5	2.55628137033	266.0	266.0
71.1	2.36602066677	268.0	268.0
57.1	2.32772262224	264.0	264.0
78.5	2.24707182281	265.0	265.0
56.5	2.51868989543	270.0	270.0
64.2	2.34506860146	269.0	269.0
73.5	2.48178630361	271.0	271.0
24.7	2.52429683486	254.0	254.0
62.7	2.29766049594	262.0	262.0
31.1	2.68866644231	247.0	247.0
50.9	2.26393090825	249.0	249.0
76.6	2.35358357485	269.0	269.0
50.4	2.30460641214	247.0	247.0
48.2	2.42078772036	257.0	257.0
35.4	2.63495452771	265.0	265.0
65.2	2.39841234407	271.0	271.0
42.5	2.37614312831	252.0	252.0
51.9	2.30378710712	257.0	257.0
69.3	2.2958423988	264.0	264.0
80.7	2.27518199283	258.0	258.0
70.4	2.57665897209	273.0	273.0
74.6	2.44453334068	270.0	270.0
70.2	2.45674730207	272.0	272.0
52.9	2.28664602263	263.0	263.0
40.3	2.49572197961	264.0	264.0
79.1	2.26094473478	266.0	266.0
53.4	2.31451207679	258.0	258.0
28.2	2.28349958851	237.0	237.0
57.7	2.27827052335	265.0	265.0
61.1	2.37174735096	268.0	268.0
53.9	2.36179196199	264.0	264.0
66.3	2.29659011775	262.0	262.0
63.5	2.4518891134	264.0	264.0
54.4	2.66096173659	269.0	269.0
81.1	2.23270583513	254.0	254.0
62.3	2.21170499157	259.0	259.0
61.5	2.3255281725	267.0	267.0
58.3	2.29505187874	267.0	267.0
71.4	2.27841189451	264.0	264.0
37.6	2.46485050305	267.0	267.0
75.2	2.40355541331	273.0	273.0
67.3	2.34110490207	261.0	261.0
43.7	2.17067351575	243.0	243.0
63.1	2.38207077369	266.0	266.0
77.3	2.32481764064	269.0	269.0
70.6	2.41323801136	273.0	273.0
69.6	2.29025044386	261.0	261.0
47.5	2.4226565404	251.0	251.0
75.9	2.33710086345	272.0	272.0
60.8	2.36041846784	268.0	268.0
64.8	2.29324426535	270.0	270.0
45.7	2.5229847782	251.0	251.0
60.4	2.29122478708	270.0	270.0
46.3	2.38364372221	256.0	256.0
80.2	2.36803214937	267.0	267.0
