	ave_shortest_path	subNetNodes	netNodes
48.5	2.7944117319134603	260.0	260.0
49.5	2.5123551322329636	242.0	247.0
80.5	2.332486905944057	263.0	263.0
62.2	2.5185859760820914	264.0	264.0
72.5	2.500392429606185	254.0	254.0
59.9	2.5912926679211643	267.0	267.0
46.7	2.402229001174106	255.0	255.0
75.4	2.3676912836833695	264.0	264.0
64.1	2.346405839032609	268.0	268.0
42.9	2.3476357936209933	257.0	257.0
68.2	2.4124001387588616	257.0	257.0
66.7	2.420940470502146	266.0	266.0
44.0	2.5113902172820692	258.0	260.0
45.0	2.4095669178054733	257.0	257.0
51.0	2.7784806943255753	260.0	260.0
67.7	2.3934763661580845	260.0	260.0
53.0	2.6614744144230364	250.0	252.0
55.0	2.344357557398558	263.0	263.0
77.4	2.2042757459228772	264.0	264.0
62.0	2.431687285307619	266.0	266.0
47.3	2.4974305079879473	257.0	257.0
68.7	2.5529559067825867	259.0	259.0
69.0	2.4100780769947927	255.0	255.0
66.2	2.5627115052810305	269.0	269.0
78.6	2.2903758388414146	267.0	267.0
78.0	2.2718208938515807	268.0	268.0
80.4	2.3434059281676247	266.0	266.0
65.1	2.4008790892305303	262.0	262.0
62.5	2.584542855514512	260.0	260.0
71.8	2.3266001442944506	257.0	257.0
70.7	2.260839196951747	266.0	266.0
28.6	2.5589612294746082	272.0	272.0
49.2	2.571069758913968	244.0	244.0
73.7	2.3400998762972485	258.0	258.0
45.9	2.334640885895521	256.0	256.0
33.3	2.4044064164763577	277.0	277.0
72.7	2.5266792624565237	255.0	255.0
80.9	2.446127663303162	266.0	266.0
35.2	2.3879333076435434	269.0	269.0
79.8	2.4279446577136485	269.0	269.0
51.7	2.694649212721077	254.0	254.0
48.8	2.5711312407154576	251.0	251.0
62.7	2.5033045520039865	262.0	262.0
47.9	2.6002893383463537	259.0	259.0
54.4	2.4602634491726874	256.0	259.0
60.9	2.654464904366439	271.0	271.0
58.7	2.3700819211855966	269.0	269.0
70.1	2.262500241143256	263.0	263.0
57.5	2.2271404139077937	257.0	257.0
40.6	2.3958926195521104	268.0	268.0
53.7	2.497961043078165	254.0	256.0
72.1	2.362953287858974	255.0	255.0
49.9	2.6265281276857833	248.0	253.0
71.5	2.381668995699316	262.0	262.0
32.2	2.408080491707932	272.0	272.0
80.7	2.378086171556414	263.0	263.0
50.4	2.7953481781739122	258.0	258.0
74.1	2.272618012474165	253.0	253.0
81.1	2.491689556750408	267.0	267.0
62.9	2.4085229546964775	265.0	265.0
37.2	2.3450623968297855	264.0	264.0
67.2	2.4305923383996113	262.0	262.0
76.1	2.3010951305666847	260.0	260.0
39.3	2.38975100521476	267.0	267.0
69.8	2.2024143128971816	263.0	263.0
74.7	2.251025469959191	254.0	254.0
72.9	2.3643130675407944	250.0	250.0
69.2	2.5159571378895147	262.0	262.0
52.4	2.904991822349647	255.0	257.0
56.7	2.278316885037667	261.0	261.0
65.6	2.397698782602693	261.0	261.0
71.2	2.3195994187450073	263.0	263.0
27.3	2.5974211831812974	268.0	268.0
61.4	2.399293342379452	268.0	268.0
41.8	2.3171792376922085	265.0	265.0
73.1	2.2216092723074277	246.0	246.0
64.6	2.377812380454691	266.0	266.0
68.4	2.548920957498275	257.0	257.0
58.1	2.3073828419112075	264.0	264.0
71.0	2.2662219867039917	265.0	265.0
72.3	2.4060995220632524	256.0	256.0
63.1	2.4491312653668085	270.0	270.0
69.4	2.408400883161316	264.0	264.0
55.9	2.335800194096261	268.0	268.0
59.3	2.523821867072473	265.0	265.0
63.6	2.5280581702790528	274.0	274.0
70.4	2.2589801381255272	266.0	266.0
69.6	2.3441223244371905	264.0	264.0
76.8	2.240573521593069	261.0	261.0
30.9	2.5764028823965623	275.0	275.0
36.1	2.290485153088872	267.0	267.0
29.8	2.513702324512467	273.0	273.0
79.2	2.3513711037342087	265.0	265.0
38.3	2.358947797804043	264.0	264.0
81.5	2.511452680283554	262.0	262.0
61.7	2.4519185068998524	263.0	263.0
60.4	2.6078105498297486	267.0	267.0
73.4	2.284432320970684	254.0	254.0
34.3	2.4556020706770454	275.0	275.0
81.3	2.388922979150292	265.0	265.0
80.2	2.4397511370072946	268.0	268.0
